YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
1,------,------,1
2, 20234,LIVER TYPE GREASE GUN 20234,3
3, 2214752,SPIRAL  BEVEL GEAR 10 FOR M9506B 2214752,6
4, 2214760,SPIRAL BEVEL GEAR 37 FOR M9509B 2214760,2
5, 374091,ARMATURE H41SST 374091,2
6, 374095,STATOR 374095,1
7, 698VVC2,BALL BEAREING  698VVC2,1
8, 698VVC2,BALL BEAREING  698VVC2,47
9, AG45B,A BLADE FOR AG45,1
10, BULL GOLD TCT7*60T,TCT BLADE 7*60T,53
11, BULL GOLD TCT8*40,8*40 TCT BLADE BULLET,12
12, CE1305,SNAP-OFF KNIFE 18MM CE1305,1
13, CSD12CHR,CSD 12V CHARGER CSD12CHR,1
14, D03981,SDS PLUS BIT 16X160 D03981,2
15, D16265,SDS PLUS BIT 20X350 D16265,15
16, DWSCB ,MAL DWS180 CARBON BRUSH DWSCB ,4
17, ET1050,"ERATEK ANGLE GRINDER  ET1050, 1050W",8
18, F15,NAIL F15,5
19, FK35,METSO FLEXIBLE SHAFT SCREW DRIVER OI -FK35,1
20, HAWK,"YURI CHAINSAW 18""-BLACK HAWK",1
21, HIL02C,NYLON TRIMMER SQUARE LINE 2.65X15MM HIL02C,10
22, JY005,HOUSE HOLD LADDER 5 STEPS JY005,2
23, KIC5SBW,MARBLE CUTTER 5INCH 1800W KHAITHAN KIC5SBW,3
24, LMP906,"FLAT HANDLE FILE6"" LMP906",4
25, MCF32BG, MCF32 MCF 1250W BIG GEAR,1
26, MDB13U,DRILL CHUCK AND KEY1.5 13MM MDB13U,-2.000
27, MK50CUN,GLOBAL AIR COMPRESSOR 50 LTR MK50,3
28, MK50CUN,GLOBAL AIR COMPRESSOR 50 LTR MK50,1
29, PRADO ,"YURI  PROF CHAINSAW 18"" PRADO -18",2
30, PTC009,"RATCHET ROD CAULK GUN 9"" PTC009",5
31, REA006,"LIGHT DUTY RIVERTER 10"" REA006",3
32, RTSPPG11KB01A ,SPRAY GUN RTSPPG11KB01A ,4
33, RU070,TURBO NOZZLE RU070,1
34, TCT10*100T,BLADE TCT10*100T,3
35, THT6166,  TOTAL BENCH VICE THT6166,1
36, VBTN030,BRASS TURBO NOZZLE 30,1
37,***,5KG FLAT CISEL 17*400 POINT ,-3.000
38,.782,CONCRETE NAIL 2*10 CORBRA,-3.000
39,001,K-EMTEX-ROUTER BIT -001,6
40,002,K-EMTEX-ROUTERBIT-002,17
41,003,K-EMTEX-ROUTER BIT -003,5
42,0050,BC CLUTCH SCREW SET ,14
43,0058,BC CARBURATOR HQ 43CC ,2
44,0082,CS AIR FILTER  BIG M23,40
45,0082,CS AIR FILTER  BIG M23,7
46,0096,CS BUSH SET  M23,191
47,0096,CS BUSH SET  M23,3
48,0096,CS BUSH SET  M23,-8.000
49,0126,CS SPROCKET M23,15
50,0126,CS SPROCKET M23,26
51,0163,BC FUEL PIPE SET ,3
52,0186,TANK GROMMET ,2
53,0229,BC RIGHT SWITCH HANDLE ,-28.000
54,0275,GEAR 2-20,1
55,0313,28MM PIPE BUSH BEARING ,5
56,0810.,HM0810T ORING 5KG,156
57,0810CR,CONECTING RAD ,36
58,0810CRP,0810 CONNECTING ROD WITH BEARING ALUMINIUM ,58
59,0810CRP,0810 CONNECTING ROD WITH BEARING ALUMINIUM ,41
60,0810FSP,FIELD SPRING FOR 0810  5 KG ,100
61,0810G,APPU 0810TGEAR ,60
62,0810GB,0810 GAER BOX   0810GB,44
63,0810GB/A,GEAR BOX 0810,16
64,0810GCK,0810 T GREASE CAP KING ,42
65,0810OR,0810 ORING QUALITY,-22.000
66,0810P,PISTON 0810   MALDH5KP,3
67,0810PN,0810 PISTON PIN ,30
68,0810SH,XTRAPOWER SPARE 0810T SWITCH ,22
69,0810SR,0810 STRIKER ,16
70,0810T,O RING 0810,6
71,0810T/1,E-SPARES -HM0810TORING,2
72,0810T/2,SPARE 0810T TOOL HOLDER ,2
73,0810TGB,K-YURI SPARES-0810T GEARBOX,24
74,0810TH,SPARES -0810T ADAPTOR  COMPLETE ,3
75,0810TH/1,0810 TOOL HOLDER,2
76,0810TH/K,0810 TOOL HOLDER COMPLETE EVEREST,-1.000
77,0810TH/K,0810 TOOL HOLDER COMPLETE EVEREST,198
78,0810TH/K,0810 TOOL HOLDER COMPLETE EVEREST,8
79,0810TH/S,TOOL HOLDER 0810T SMALL EVEREST ,95
80,0810TT,LASERTECH -SPARE -0810T SIDE HANDLE ,1
81,0810XR,0810 OIL SEAL ,6
82,0835TH,SPARE 0835 TOOL HOLDER ,3
83,0981,END CAP 18 INCH  BRASS ,12
84,0982.,END CAP 1/4 INCH BRASS ,12
85,0983.,END CAP 3/8 INCH BRASS ,6
86,1.5*2C FLEXIBLE ,1.5*2C FLEXIBLE ,450
87,1.5LB,SLEDGE HAMMER 1.5LB,6
88,1.5LB,SLEDGE HAMMER 1.5LB,11
89,1.5LBH,SLEDGE HAMMER 1.5LB,-1.000
90,1.5LBH,SLEDGE HAMMER 1.5LB,-1.000
91,1.5LBH/1,SLEDGE HAMMER WITH PIDI 1.5 LB ,2
92,1.5LBH/1,SLEDGE HAMMER WITH PIDI 1.5 LB ,-2.000
93,1.5SQ,PIONEER CORD WIRE PVC  90MTR,262
94,1/2-3/4 V ,1/2-3/4 V ,3
95,1/2NUT,NUT MS 1/2,5.32
96,100.,FREEMANS 20 MTR TAPE ,96
97,1000,PLANER BLADE -BOSCH,7
98,10000.,10000 TOLSEN COMBINATION PLIERS 6'',-1.000
99,10001.,10001 TOLSEN COMBINATION PLIERS 7 INCH ,14
100,10002.,TOLSEN COMBINATION PLIER 8 INCH ,1
101,10006.,TOLSEN LONG NOSE PLIER 6 INCH 10006,8
102,10014.,TOLSEN MONKEY PLIER 10 INCH 10014,11
103,10041,TOLSEN TOWER PINCER 10 INCH 10041,4
104,10042.,TOLSEN TOWER PINCER 11 INCH 10042,5
105,10043.," TOLSEN END WIRECUTTER 6""",38
106,10044.,TOLSEN END CUTTING PINCER 7 INCH 10044,3
107,100451206,CARBON BRUSH ,3
108,10051.,TOLSEN  LOCKING PLIERS,7
109,1007.,MSeal  WHITE  50GM ,-34.000
110,1007.,MSeal  WHITE  50GM ,414
